 CALCULATION WITH NEFF7 (VAX VERSION).

 EFFICIENCY OF THE DETECTOR IN
 THE ENERGY RANGE    EMIN             0. KEV
                     EMAX         20000. KEV
 ENERGY BIN WIDTH                    50. KEV

 NE 213 SCINTILLATOR
           DENSITY                0.8740 G/CM**3
           NH/NC                  1.2130
 LIGHT PIPE
           DENSITY                1.1800 G/CM**3
           NH/NC                  1.1000

 RADIUS OF THE SCINTILLATORS        6.19 CM
 HEIGHT   OF THE SCINTILLATOR         4.92 CM
 RADIUS OF THE HOUSING              6.35 CM
 HEIGHT OF THE HOUSING              5.08 CM

 LENGTH OF THE LIGHT PIPE           0.00 CM
  5300. - 5350.    0.11529 0.17513 0.20210 0.23007
  5350. - 5400.    0.11501 0.17130 0.19930 0.22562
  5400. - 5450.    0.11761 0.17408 0.19958 0.22659
  5450. - 5500.    0.11937 0.17189 0.19858 0.22576
  5500. - 5550.    0.11952 0.17127 0.19782 0.22464
  5550. - 5600.    0.12237 0.17474 0.20044 0.22603
  5600. - 5650.    0.12073 0.17154 0.19586 0.22111
  5650. - 5700.    0.12387 0.17349 0.19765 0.22298
  5700. - 5750.    0.12389 0.17005 0.19411 0.21873
  5750. - 5800.    0.12560 0.17178 0.19623 0.22112
  5800. - 5850.    0.12488 0.17022 0.19280 0.21642
  5850. - 5900.    0.12832 0.17416 0.19673 0.21889
  5900. - 5950.    0.12886 0.17252 0.19625 0.21985
  5950. - 6000.    0.12700 0.17099 0.19223 0.21591
  6000. - 6050.    0.12985 0.17237 0.19358 0.21622
  6050. - 6100.    0.12707 0.16951 0.19086 0.21434
  6100. - 6150.    0.13008 0.17171 0.19240 0.21411
  6150. - 6200.    0.12671 0.16827 0.18803 0.21037
  6200. - 6250.    0.13285 0.17377 0.19351 0.21683
  6250. - 6300.    0.13056 0.17228 0.19398 0.21550
  6300. - 6350.    0.13034 0.17102 0.19088 0.21238
  6350. - 6400.    0.13716 0.17480 0.19422 0.21358
  6400. - 6450.    0.13606 0.17233 0.19238 0.21355
  6450. - 6500.    0.13354 0.16997 0.18948 0.20959
  6500. - 6550.    0.13368 0.17060 0.18879 0.20865
  6550. - 6600.    0.13442 0.16876 0.18758 0.20662
  6600. - 6650.    0.13588 0.17028 0.18805 0.20780
  6650. - 6700.    0.13902 0.17284 0.19079 0.21115
  6700. - 6750.    0.14009 0.17355 0.19170 0.21148
  6750. - 6800.    0.13586 0.16935 0.18690 0.20602
  6800. - 6850.    0.14067 0.17356 0.18990 0.20942
  6850. - 6900.    0.13868 0.17003 0.18683 0.20543
  6900. - 6950.    0.13734 0.16827 0.18536 0.20480
  6950. - 7000.    0.13848 0.17011 0.18740 0.20551
  7000. - 7050.    0.13828 0.16937 0.18514 0.20382
  7050. - 7100.    0.14056 0.17060 0.18628 0.20462
  7100. - 7150.    0.13882 0.16919 0.18546 0.20491
  7150. - 7200.    0.14119 0.17079 0.18664 0.20557
  7200. - 7250.    0.14001 0.16831 0.18361 0.20220
  7250. - 7300.    0.13875 0.16742 0.18366 0.20301
  7300. - 7350.    0.13712 0.16423 0.18015 0.19825
  7350. - 7400.    0.13932 0.16724 0.18221 0.20157
  7400. - 7450.    0.13949 0.16757 0.18341 0.20227
  7450. - 7500.    0.13653 0.16223 0.17738 0.19777
  7500. - 7550.    0.13581 0.16313 0.17958 0.19902
  7550. - 7600.    0.13807 0.16440 0.17881 0.19893
  7600. - 7650.    0.13808 0.16441 0.17993 0.19919
  7650. - 7700.    0.13406 0.16013 0.17601 0.19597
  7700. - 7750.    0.13360 0.15936 0.17432 0.19462
  7750. - 7800.    0.13516 0.16175 0.17704 0.19645
  7800. - 7850.    0.13371 0.15945 0.17468 0.19329
  7850. - 7900.    0.13553 0.16020 0.17518 0.19455
  7900. - 7950.    0.13570 0.16034 0.17539 0.19369
  7950. - 8000.    0.13292 0.15873 0.17397 0.19326
  8000. - 8050.    0.13750 0.16207 0.17833 0.19702
  8050. - 8100.    0.13612 0.16088 0.17590 0.19513
  8100. - 8150.    0.13541 0.16055 0.17647 0.19610
  8150. - 8200.    0.13423 0.15821 0.17412 0.19337
  8200. - 8250.    0.13577 0.16010 0.17527 0.19237
  8250. - 8300.    0.13502 0.15877 0.17304 0.19012
  8300. - 8350.    0.13508 0.15964 0.17323 0.19025
  8350. - 8400.    0.13514 0.15797 0.17220 0.18894
  8400. - 8450.    0.13542 0.15885 0.17307 0.18897
  8450. - 8500.    0.13414 0.15728 0.17067 0.18562
  8500. - 8550.    0.13464 0.15784 0.17165 0.18652
  8550. - 8600.    0.13572 0.15906 0.17289 0.18758
  8600. - 8650.    0.13745 0.16102 0.17466 0.18943
  8650. - 8700.    0.13422 0.15657 0.17060 0.18535
  8700. - 8750.    0.13564 0.15811 0.17063 0.18557
  8750. - 8800.    0.13756 0.16034 0.17295 0.18675
  8800. - 8850.    0.13677 0.15910 0.17223 0.18618
  8850. - 8900.    0.13488 0.15731 0.16998 0.18319
  8900. - 8950.    0.13476 0.15700 0.16993 0.18369
  8950. - 9000.    0.13418 0.15598 0.16839 0.18212
  9000. - 9050.    0.13373 0.15394 0.16606 0.18001
  9050. - 9100.    0.13285 0.15483 0.16736 0.18103
  9100. - 9150.    0.13176 0.15284 0.16518 0.17884
  9150. - 9200.    0.13269 0.15391 0.16666 0.17924
  9200. - 9250.    0.13382 0.15498 0.16679 0.17975
  9250. - 9300.    0.13225 0.15235 0.16476 0.17802
  9300. - 9350.    0.12987 0.15128 0.16415 0.17621
  9350. - 9400.    0.13346 0.15399 0.16589 0.17868
  9400. - 9450.    0.13399 0.15441 0.16574 0.17854
  9450. - 9500.    0.13076 0.15185 0.16344 0.17538
  9500. - 9550.    0.13091 0.15192 0.16322 0.17506
  9550. - 9600.    0.13046 0.15194 0.16395 0.17597
  9600. - 9650.    0.13195 0.15312 0.16465 0.17675
  9650. - 9700.    0.13139 0.15149 0.16216 0.17420
  9700. - 9750.    0.13268 0.15250 0.16375 0.17507
  9750. - 9800.    0.13004 0.15040 0.16171 0.17259
  9800. - 9850.    0.13210 0.15151 0.16169 0.17344
  9850. - 9900.    0.13301 0.15173 0.16230 0.17336
  9900. - 9950.    0.13148 0.15128 0.16201 0.17331
  9950. -10000.    0.13076 0.14952 0.16003 0.17138
 10000. -10050.    0.13286 0.15123 0.16164 0.17283
 10050. -10100.    0.13030 0.14899 0.15975 0.17126
 10100. -10150.    0.13213 0.15066 0.16055 0.17136
 10150. -10200.    0.12885 0.14767 0.15748 0.16861
 10200. -10250.    0.12871 0.14685 0.15658 0.16748
 10250. -10300.    0.13028 0.14773 0.15726 0.16675
 10300. -10350.    0.13163 0.14869 0.15821 0.16907
 10350. -10400.    0.13112 0.14874 0.15886 0.16943
 10400. -10450.    0.12962 0.14707 0.15580 0.16543
 10450. -10500.    0.13111 0.14823 0.15779 0.16876
 10500. -10550.    0.12774 0.14530 0.15497 0.16583
 10550. -10600.    0.12954 0.14688 0.15576 0.16660
 10600. -10650.    0.12885 0.14545 0.15461 0.16533
 10650. -10700.    0.12974 0.14593 0.15467 0.16518
 10700. -10750.    0.13051 0.14706 0.15631 0.16646
 10750. -10800.    0.12933 0.14589 0.15450 0.16660
 10800. -10850.    0.12800 0.14417 0.15371 0.16456
 10850. -10900.    0.12715 0.14411 0.15305 0.16362
 10900. -10950.    0.13182 0.14738 0.15618 0.16686
 10950. -11000.    0.12913 0.14547 0.15427 0.16576
 11000. -11050.    0.12950 0.14486 0.15336 0.16534
 11050. -11100.    0.12830 0.14441 0.15309 0.16400
 11100. -11150.    0.12776 0.14261 0.15071 0.16176
 11150. -11200.    0.12766 0.14298 0.15206 0.16298
 11200. -11250.    0.12541 0.14043 0.14968 0.16159
 11250. -11300.    0.12795 0.14245 0.15019 0.16115
 11300. -11350.    0.12702 0.14182 0.14948 0.16119
 11350. -11400.    0.12524 0.13962 0.14850 0.15972
 11400. -11450.    0.12414 0.13876 0.14635 0.15801
 11450. -11500.    0.12482 0.13808 0.14584 0.15721
 11500. -11550.    0.12572 0.13973 0.14749 0.15897
 11550. -11600.    0.12662 0.14075 0.14846 0.15966
 11600. -11650.    0.12533 0.13973 0.14724 0.15866
 11650. -11700.    0.12400 0.13796 0.14494 0.15595
 11700. -11750.    0.12431 0.13793 0.14547 0.15675
 11750. -11800.    0.12602 0.13918 0.14673 0.15817
 11800. -11850.    0.12402 0.13776 0.14532 0.15765
 11850. -11900.    0.12277 0.13585 0.14358 0.15579
 11900. -11950.    0.12623 0.13984 0.14711 0.15943
 11950. -12000.    0.12229 0.13502 0.14279 0.15656
 12000. -12050.    0.12455 0.13846 0.14636 0.15967
 12050. -12100.    0.12284 0.13546 0.14356 0.15597
 12100. -12150.    0.12238 0.13517 0.14311 0.15546
 12150. -12200.    0.12157 0.13440 0.14247 0.15587
 12200. -12250.    0.12140 0.13401 0.14191 0.15522
 12250. -12300.    0.12215 0.13476 0.14332 0.15672
 12300. -12350.    0.12119 0.13372 0.14168 0.15408
 12350. -12400.    0.12210 0.13407 0.14216 0.15458
 12400. -12450.    0.12181 0.13426 0.14289 0.15602
 12450. -12500.    0.12018 0.13258 0.14049 0.15494
 12500. -12550.    0.12157 0.13289 0.14120 0.15465
 12550. -12600.    0.12120 0.13337 0.14148 0.15534
 12600. -12650.    0.12010 0.13186 0.13977 0.15371
 12650. -12700.    0.12140 0.13332 0.14214 0.15654
 12700. -12750.    0.12077 0.13243 0.14123 0.15564
 12750. -12800.    0.11835 0.12989 0.13824 0.15289
 12800. -12850.    0.11920 0.13086 0.13981 0.15371
 12850. -12900.    0.12078 0.13220 0.14119 0.15585
 12900. -12950.    0.12019 0.13132 0.14024 0.15405
 12950. -13000.    0.11937 0.13045 0.13980 0.15419
 13000. -13050.    0.11900 0.12999 0.13933 0.15352
 13050. -13100.    0.11905 0.13018 0.13919 0.15378
 13100. -13150.    0.11804 0.12867 0.13852 0.15420
 13150. -13200.    0.11719 0.12843 0.13755 0.15249
 13200. -13250.    0.11774 0.12956 0.13927 0.15407
 13250. -13300.    0.11866 0.12967 0.13895 0.15306
 13300. -13350.    0.11733 0.12808 0.13725 0.15208
 13350. -13400.    0.11919 0.13063 0.13953 0.15392
 13400. -13450.    0.11993 0.13135 0.14117 0.15470
 13450. -13500.    0.11669 0.12710 0.13663 0.15018
 13500. -13550.    0.11497 0.12594 0.13535 0.15075
 13550. -13600.    0.11733 0.12850 0.13745 0.15221
 13600. -13650.    0.11521 0.12625 0.13655 0.15107
 13650. -13700.    0.11514 0.12712 0.13733 0.15201
 13700. -13750.    0.11480 0.12602 0.13572 0.15051
 13750. -13800.    0.11760 0.12927 0.13870 0.15357
 13800. -13850.    0.11405 0.12633 0.13674 0.15248
 13850. -13900.    0.11124 0.12354 0.13248 0.14811
 13900. -13950.    0.11427 0.12616 0.13575 0.15203
 13950. -14000.    0.11321 0.12595 0.13526 0.15075
 14000. -14050.    0.11419 0.12602 0.13528 0.15185
 14050. -14100.    0.11370 0.12613 0.13476 0.15163
 14100. -14150.    0.11425 0.12689 0.13612 0.15339
 14150. -14200.    0.11291 0.12727 0.13706 0.15285
 14200. -14250.    0.11157 0.12550 0.13618 0.15300
 14250. -14300.    0.11345 0.12726 0.13787 0.15492
 14300. -14350.    0.11038 0.12466 0.13546 0.15103
 14350. -14400.    0.11229 0.12726 0.13847 0.15467
 14400. -14450.    0.11139 0.12653 0.13711 0.15298
 14450. -14500.    0.10904 0.12542 0.13618 0.15284
 14500. -14550.    0.11095 0.12728 0.13825 0.15391
 14550. -14600.    0.11190 0.12797 0.13879 0.15516
 14600. -14650.    0.11119 0.12651 0.13709 0.15327
 14650. -14700.    0.11076 0.12614 0.13696 0.15509
 14700. -14750.    0.10985 0.12551 0.13683 0.15412
 14750. -14800.    0.10853 0.12385 0.13495 0.15217
 14800. -14850.    0.11023 0.12563 0.13713 0.15439
